solute_element,nominal_solute_fraction,B_GPa_mean,B_GPa_std,B_GPa_count,G_GPa_mean,G_GPa_std,G_GPa_count,B_over_G_mean,B_over_G_std,B_over_G_count,Tm_linear_K_mean
Mo,0.7,275.272120947323,0.0033551906628556164,3,135.46387385187668,0.03328960795150823,3,2.032070423494062,0.0004758370096594833,3,3133.203125
Mo,0.75,273.29094984783836,0.15098998672034156,3,134.30347090127017,0.030017882047549554,3,2.0348765173401686,0.0015452556802956542,3,3095.75
Mo,0.8,271.51492484302565,0.09732626806497673,3,133.14662319049424,0.04644705421949144,3,2.0392175032859896,0.00011464349389835184,3,3058.296875
Mo,0.85,269.15950215459753,0.021865884772895822,3,131.7434308772827,0.008044088638432104,3,2.043058245775613,0.00020275731390069092,3,3014.6015625
Mo,0.9,267.1060828584979,0.02545095406021998,3,130.5572779211753,0.002873028836491771,3,2.0458919434476974,0.00021289970043505228,3,2977.1484375
Mo,0.95,264.64316038882845,0.018383334043900877,3,129.16322270036244,0.0069849044775086334,3,2.048904902820223,4.003733267033917e-05,3,2933.453125
Mo,1.0,262.28716126390594,0.0004779793817338366,3,127.90575869664228,0.0007082846340230239,3,2.050628243337386,1.1041217842322927e-05,3,2896.0
Nb,0.0,304.096281076409,0.0003485635824022932,3,152.69609494115863,0.00037693620745371726,3,1.9915131503206396,6.356768057640672e-06,3,3695.0
Nb,0.05,299.52668300565034,0.11136055704896529,3,146.5266631715905,0.06956074908707688,3,2.0441789127293784,0.0009875530874107,3,3650.703125
Nb,0.1,294.3731037954155,0.39325873598612165,3,139.4752710228975,0.2185460702993592,3,2.110576128927509,0.0006048873616816121,3,3599.0234375
Nb,0.15,289.0671307112951,0.5494382692333603,3,133.17990934095675,0.44789718609388457,3,2.1705090088226178,0.003958168452889572,3,3554.7265625
Nb,0.2,282.15179454780207,0.26813417422727476,3,125.47595791413782,0.3309572319279703,3,2.2486589667790335,0.0038409892842597147,3,3503.046875
Nb,0.25,275.1651262400944,0.04259139505890516,3,118.01358703515682,0.04329424180113452,3,2.331639627501907,0.0010812878055791073,3,3458.75
Nb,0.3,267.55604232956847,0.21113960071230883,3,110.73531551538781,0.30536411187995144,3,2.4161899525691255,0.007638746931729836,3,3414.453125
Nb,0.35,257.3010069628181,0.06160213030834621,3,101.00825727784702,0.5487225662894928,3,2.5473749899432216,0.013406758209731195,3,3362.7734375
Nb,0.4,248.14485499060552,0.1407397471133066,3,92.65503240789401,0.3561939056695445,3,2.6781856784109963,0.010740482019908133,3,3318.4765625
Nb,0.45,237.98686405588242,0.1658223101356641,3,83.9765668511488,0.5108283966130001,3,2.8340334620939065,0.016353183967626177,3,3266.796875
Nb,0.5,229.487237863785,0.5019856661654435,3,76.4316097833598,0.7549001920352318,3,3.0026723365604386,0.023642467956174466,3,3222.5
Nb,0.55,221.6102749538045,0.3025301956156782,3,69.69346320144881,0.3236214302435149,3,3.179820075416645,0.011369122406789509,3,3178.203125
Nb,0.6,213.03726090194576,0.2547595756001431,3,62.0493916555181,0.3814214544310305,3,3.433421225147301,0.01756544217510342,3,3126.5234375
Nb,0.65,205.7330039007188,0.324414730995268,3,55.926256184690224,0.6129865732629143,3,3.67889867078391,0.03432229367476019,3,3082.2265625
Nb,0.7,198.14179735251614,0.06468875784838604,3,49.31011665646805,0.18217976113234777,3,4.0183185238640595,0.01612070373611258,3,3030.546875
Nb,0.75,191.71335870431687,0.16840772518329603,3,44.13482314438435,0.3472911621706692,3,4.343999371659571,0.035967941835363254,3,2986.25
Nb,0.8,185.55704472503712,0.2074119968670755,3,39.144608702892555,0.0884138315796702,3,4.740306832766568,0.007933131270836575,3,2941.953125
Nb,0.85,178.59446409560982,0.079984199638462,3,33.70655220545526,0.04778243567679623,3,5.298513682352873,0.005150740050853275,3,2890.2734375
Nb,0.9,172.72640895440904,0.060540490862865996,3,29.259150346035437,0.13387278525920523,3,5.903406889407535,0.025363487435363142,3,2845.9765625
Nb,0.95,165.72415169938427,0.021651498314887482,3,23.863288022688597,0.08842391264495587,3,6.94479658470701,0.02596188175114859,3,2794.296875
Nb,1.0,159.47700792115964,0.00016934994560489363,3,19.15210199281104,9.959678192021339e-05,3,8.326867097058733,3.452655185292208e-05,3,2750.0
Ta,0.0,304.09615864993583,7.802364675131272e-05,3,152.69683167917046,0.0005669226909896569,3,1.9915027398308218,6.929987567234984e-06,3,3695.0
Ta,0.05,301.0620719051132,0.23670103414109267,3,146.6186453966358,0.12355093705620288,3,2.0533683447287974,0.00041319833234677687,3,3676.015625
Ta,0.1,297.54767150416876,0.037738128645225036,3,139.4893727658327,0.08231000335058232,3,2.1331211421673113,0.0010861322248676474,3,3653.8671875
Ta,0.15,293.7537057302536,0.5667020769423462,3,133.32407465159656,0.309848188644625,3,2.20330751631588,0.001798176522775895,3,3634.8828125
Ta,0.2,287.5355062301437,0.44359465673655224,3,125.21501304599427,0.3421278710733961,3,2.2963393091057633,0.002992537709495929,3,3612.734375
Ta,0.25,281.16419238257316,0.17040495662642524,3,118.27601470395552,0.0374857870975282,3,2.377187185918436,0.001889316584854204,3,3593.75
Ta,0.3,273.8647670733856,0.01587398870809171,3,111.0643220582666,0.6380888937925576,3,2.4658754697817744,0.014152875101541937,3,3574.765625
Ta,0.35,264.4050708956356,0.19135707188736706,3,102.38801317778992,0.589829525745029,3,2.5824329933398364,0.01300649555087609,3,3552.6171875
Ta,0.4,256.4613468051878,0.20090615601046313,3,95.05704092652446,0.3666216282543626,3,2.6979959520511354,0.008968732244768456,3,3533.6328125
Ta,0.45,248.37790426257178,0.23660376887215542,3,88.39208880746177,0.39637562153244027,3,2.809987304376022,0.010484835398084993,3,3511.484375
Ta,0.5,241.95453193347745,0.6380612199829269,3,82.63852923455234,0.815044091775552,3,2.9280058540397995,0.021300489011208214,3,3492.5
Ta,0.55,236.3517027129127,0.1662511463042379,3,77.68903545663221,0.1279228491758643,3,3.042286544520408,0.007108090525317693,3,3473.515625
Ta,0.6,230.46942643682928,0.20831234004984883,3,73.19291695033978,0.2117543510165111,3,3.1488101459507116,0.008746755991069244,3,3451.3671875
Ta,0.65,225.59283844187425,0.08424924603222611,3,69.16076615605776,0.22716061857647668,3,3.261882471410832,0.009603498306058698,3,3432.3828125
Ta,0.7,220.1706343623571,0.043132854790354384,3,65.5085023965355,0.3428341543385133,3,3.3610085095843245,0.017510176130172597,3,3410.234375
Ta,0.75,215.25775139630787,0.0785848663325079,3,61.85399166329353,0.4399420348888128,3,3.48021859035615,0.026118680688935653,3,3391.25
Ta,0.8,210.3705185531874,0.2235361107746664,3,59.03116816043221,0.1784664153535013,3,3.5637372613616676,0.009453075955070011,3,3372.265625
Ta,0.85,204.7241791726813,0.06067179948414441,3,56.68550832534425,0.5670996693996465,3,3.6118134906404378,0.035195315264773104,3,3350.1171875
Ta,0.9,199.46927272566245,0.10587277482179688,3,54.88463720749301,0.037795545090773056,3,3.634337483005114,0.0013156244277748787,3,3331.1328125
Ta,0.95,193.14477926818017,0.10833560256658571,3,52.45946633407592,0.024105876999191287,3,3.68179067028073,0.00048304880402104145,3,3308.984375
Ta,1.0,187.75643872966134,0.0002717398340974786,3,50.33925690531432,0.0006860111975155841,3,3.7298214216489725,5.614012830950805e-05,3,3290.0
